Att.1,Yds.1,Y/A,TD.1,player_id
0.0,0.0,0.0,0.0,KinsMa00
1.0,3.0,3.0,0.0,LarvGa00
1.0,7.0,7.0,0.0,OConAi00
9.0,46.0,5.11,0.0,RiveRo01
0.0,0.0,0.0,0.0,SaubEr00
0.0,0.0,0.0,0.0,SmarSt00
0.0,0.0,0.0,0.0,TramAu00
0.0,0.0,0.0,0.0,WoerCh00
0.0,0.0,0.0,0.0,YounDa02
0.0,0.0,0.0,0.0,BerrBr00
7.0,11.0,1.57,0.0,BrosMa00
1.0,4.0,4.0,0.0,BuecSh00
9.0,60.0,6.67,0.0,CartNa00
11.0,40.0,3.64,0.0,ChesJu00
0.0,0.0,0.0,0.0,DrumDy00
0.0,0.0,0.0,0.0,EskrDW00
0.0,0.0,0.0,0.0,GranKy00
0.0,0.0,0.0,0.0,HyatJa00
0.0,0.0,0.0,0.0,KennTo01
0.0,0.0,0.0,0.0,LatuKe00
0.0,0.0,0.0,0.0,OkwuAl00
14.0,36.0,2.57,0.0,PierDa01
0.0,0.0,0.0,0.0,RestXa00
0.0,0.0,0.0,0.0,WilsCe01
2.0,7.0,3.5,0.0,BageTy00
3.0,4.0,1.33,0.0,BridTe00
0.0,0.0,0.0,0.0,BrooJa03
0.0,0.0,0.0,0.0,CollBe00
0.0,0.0,0.0,0.0,DuveDe00
0.0,0.0,0.0,0.0,FeltTa00
2.0,4.0,2.0,0.0,GillRe00
9.0,24.0,2.67,0.0,GoodTy00
0.0,0.0,0.0,0.0,HodgKh00
14.0,25.0,1.79,0.0,JohnDE04
0.0,0.0,0.0,0.0,JoneJa16
4.0,32.0,8.0,0.0,JoneVe00
0.0,0.0,0.0,0.0,MingJo00
0.0,0.0,0.0,0.0,MitcJa00
1.0,11.0,11.0,0.0,RemiNi00
0.0,0.0,0.0,0.0,SimsBe00
0.0,0.0,0.0,0.0,SmytDu00
1.0,5.0,5.0,0.0,ThomDe07
0.0,0.0,0.0,0.0,WatkJo00
0.0,0.0,0.0,0.0,WatsJu01
0.0,0.0,0.0,0.0,BoboJa00
0.0,0.0,0.0,0.0,CoveBr00
3.0,21.0,7.0,0.0,DallDe00
10.0,-5.0,-0.5,0.0,DobbJo00
7.0,13.0,1.86,0.0,EdwaCl00
0.0,0.0,0.0,0.0,FiskTu00
2.0,17.0,8.5,0.0,JohnRo07
0.0,0.0,0.0,0.0,JoneTi00
0.0,0.0,0.0,0.0,KeenJa00
0.0,0.0,0.0,0.0,KrulLu00
0.0,0.0,0.0,0.0,MallWi00
0.0,0.0,0.0,0.0,MartTa00
0.0,0.0,0.0,0.0,MitcZa00
1.0,12.0,12.0,0.0,MoorDa03
0.0,0.0,0.0,0.0,ReimTi00
4.0,-4.0,-1.0,0.0,RushCo00
0.0,0.0,0.0,0.0,SherTr00
5.0,23.0,4.6,0.0,TuneCl00
0.0,0.0,0.0,0.0,WashTa00
0.0,0.0,0.0,0.0,WaynJa01
0.0,0.0,0.0,0.0,WoodJe01
5.0,20.0,4.0,0.0,WrigJa05
