2PM,2PP,player_id
0.0,0.0,YounDa02
0.0,0.0,BerrBr00
0.0,0.0,BrosMa00
0.0,0.0,BuecSh00
0.0,0.0,CartNa00
0.0,0.0,ChesJu00
0.0,0.0,DrumDy00
0.0,0.0,EskrDW00
0.0,0.0,GranKy00
0.0,0.0,HyatJa00
0.0,0.0,KennTo01
0.0,0.0,LatuKe00
0.0,0.0,OkwuAl00
0.0,0.0,PierDa01
0.0,0.0,RestXa00
0.0,0.0,WilsCe01
0.0,0.0,BageTy00
0.0,0.0,BridTe00
0.0,0.0,BrooJa03
0.0,0.0,CollBe00
0.0,0.0,DuveDe00
0.0,0.0,FeltTa00
0.0,0.0,GillRe00
0.0,0.0,GoodTy00
0.0,0.0,HodgKh00
0.0,0.0,JohnDE04
0.0,0.0,JoneJa16
0.0,0.0,JoneVe00
0.0,0.0,MingJo00
0.0,0.0,MitcJa00
0.0,0.0,RemiNi00
0.0,0.0,SimsBe00
0.0,0.0,SmytDu00
0.0,0.0,ThomDe07
0.0,0.0,WatkJo00
0.0,0.0,WatsJu01
0.0,0.0,BoboJa00
0.0,0.0,CoveBr00
0.0,0.0,DallDe00
0.0,0.0,DobbJo00
0.0,0.0,EdwaCl00
0.0,0.0,FiskTu00
0.0,0.0,JohnRo07
0.0,0.0,JoneTi00
0.0,0.0,KeenJa00
0.0,0.0,KrulLu00
0.0,0.0,MallWi00
0.0,0.0,MartTa00
0.0,0.0,MitcZa00
0.0,0.0,MoorDa03
0.0,0.0,ReimTi00
0.0,0.0,RushCo00
0.0,0.0,SherTr00
0.0,0.0,TuneCl00
0.0,0.0,WashTa00
0.0,0.0,WaynJa01
1.0,0.0,WoodJe01
0.0,0.0,WrigJa05
0.0,0.0,YankCo00
0.0,0.0,ZylsSh00
0.0,0.0,AlleBr00
0.0,0.0,BaccAn00
0.0,0.0,BachAl00
0.0,0.0,BryaHa00
0.0,0.0,CannSa00
0.0,0.0,DurhPa00
0.0,0.0,DwelRo00
0.0,0.0,GaskMy00
0.0,0.0,GoulAn00
0.0,0.0,GranCa00
0.0,0.0,JohnAm00
0.0,0.0,LaubDy00
0.0,0.0,ManhCh00
0.0,0.0,MataMo00
0.0,0.0,MullKa00
0.0,0.0,OlivBr02
0.0,0.0,RicaPa00
0.0,0.0,RichAn03
0.0,0.0,SaylJa00
0.0,0.0,SkinQu00
0.0,0.0,WillJo011
0.0,0.0,WilsZa00
0.0,0.0,WrigOw00
0.0,0.0,YuroBe00
0.0,0.0,AlexMa02
0.0,0.0,AlleKy00
0.0,0.0,BentUl00
0.0,0.0,BlaiCh00
0.0,0.0,BrigGa00
0.0,0.0,BrooJa04
0.0,0.0,BrowJa07
0.0,0.0,BrowPh01
0.0,0.0,CageLa01
0.0,0.0,CambDa00
0.0,0.0,CampDa01
0.0,0.0,CampPa00
0.0,0.0,CarlSt00
0.0,0.0,CartDe02
0.0,0.0,ChisDa00
0.0,0.0,CracRi00
0.0,0.0,CunnMa00
0.0,0.0,DabnDr00
0.0,0.0,DaviKa02
0.0,0.0,DaviZa00
0.0,0.0,DippCJ00
0.0,0.0,EdmoCh00
0.0,0.0,FantPr00
0.0,0.0,FehoSi00
0.0,0.0,FidoTh00
0.0,0.0,FranFe00
0.0,0.0,GageRu00
0.0,0.0,GrayEr01
0.0,0.0,GuerIs00
0.0,0.0,HineNy00
0.0,0.0,HoliJi00
0.0,0.0,HomeTr00
0.0,0.0,HortZa00
0.0,0.0,HuntJa03
0.0,0.0,JameJo01
0.0,0.0,JeffJe00
0.0,0.0,JenkEJ00
0.0,0.0,JohnJa12
0.0,0.0,JoneJe01
0.0,0.0,KaliNi00
0.0,0.0,KallNi00
0.0,0.0,KiefKo00
0.0,0.0,LatuCa01
0.0,0.0,LewiMa00
0.0,0.0,LockDr00
0.0,0.0,LoveDo00
0.0,0.0,MartAd00
0.0,0.0,McKeSe01
0.0,0.0,MeekJa00
0.0,0.0,MiltKe01
0.0,0.0,MimsJo00
0.0,0.0,MinsGa00
0.0,0.0,MitcEl00
0.0,0.0,MoreJa01
0.0,0.0,MullNi00
0.0,0.0,NichLe00
0.0,0.0,OuztRo00
0.0,0.0,OwenCo00
0.0,0.0,PalmTe00
0.0,0.0,PresBr00
0.0,0.0,QuitTe00
0.0,0.0,ReynCr00
0.0,0.0,RiccGi00
0.0,0.0,RichJP00
0.0,0.0,RoyaJa00
0.0,0.0,RuccHa00
0.0,0.0,RunyCa00
0.0,0.0,RussBr00
0.0,0.0,RypiBr00
0.0,0.0,SchrCo00
0.0,0.0,SermTr00
0.0,0.0,ShorJu00
0.0,0.0,SimsSt00
0.0,0.0,SlovKe00
0.0,0.0,SmitBr07
0.0,0.0,StidJa00
0.0,0.0,TonyRo00
0.0,0.0,TourSa00
0.0,0.0,TreaLa00
0.0,0.0,TurnCo00
0.0,0.0,TurnDJ00
0.0,0.0,TurnMa00
0.0,0.0,VakiSi00
0.0,0.0,VannNi00
0.0,0.0,VokoTr00
0.0,0.0,WashCa00
0.0,0.0,WelcTr00
0.0,0.0,WestJa01
0.0,0.0,WhitBl01
0.0,0.0,WhitRi01
