Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
CeeDee Lamb,DAL,WR,26,14,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,117.0,75.0,1077.0,14.36,3.0,0.0,0.0,3,0.0,0.0,200.9,LambCe00
Wan'Dale Robinson,NYG,WR,24,16,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.67,0.0,140.0,92.0,1014.0,11.02,4.0,1.0,0.0,4,0.0,0.0,217.9,RobiWa01
Stefon Diggs,NWE,WR,32,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,85.0,1013.0,11.92,4.0,0.0,0.0,4,0.0,0.0,210.3,DiggSt00
DeVonta Smith,PHI,WR,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,77.0,1008.0,13.09,4.0,0.0,0.0,4,0.0,0.0,201.8,SmitDe07
Michael Pittman Jr.,IND,WR,28,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,80.0,784.0,9.8,7.0,0.0,0.0,7,1.0,0.0,202.4,PittMi01
Tony Pollard,TEN,RB,28,17,0.0,0.0,0.0,0.0,0.0,242.0,1082.0,4.47,5.0,41.0,33.0,206.0,6.24,0.0,4.0,3.0,5,0.0,0.0,185.8,PollTo00
Colston Loveland,CHI,TE,21,16,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,82.0,58.0,713.0,12.29,6.0,0.0,0.0,6,0.0,0.0,165.1,LoveCo00
Quentin Johnston,LAC,WR,24,14,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,84.0,51.0,735.0,14.41,8.0,1.0,1.0,8,0.0,0.0,171.2,JohnQu02
D.J. Moore,CHI,WR,28,17,1.0,1.0,2.0,1.0,0.0,15.0,79.0,5.27,1.0,85.0,50.0,682.0,13.64,6.0,1.0,1.0,7,0.0,0.0,170.2,MoorD.00
Jake Ferguson,DAL,TE,26,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0,82.0,600.0,7.32,8.0,3.0,2.0,8,1.0,0.0,188.1,FergJa00
George Kittle,SFO,TE,32,11,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,69.0,57.0,628.0,11.02,7.0,0.0,0.0,7,0.0,0.0,161.5,KittGe00
Jauan Jennings,SFO,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,55.0,643.0,11.69,9.0,1.0,1.0,9,1.0,0.0,173.3,JennJa00
