Player,Tm,FantPos,Age,G,player_id
Chris Oladokun,KAN,QB,28,3,OladCh00
Dante Pettis,NOR,WR,30,8,PettDa00
Jack Stoll,NOR,TE,27,15,StolJa00
Ian Thomas,LVR,TE,29,15,ThomIa00
Jamari Thrash,CLE,WR,25,9,ThraJa01
Tylan Wallace,BAL,WR,26,14,WallTy00
Brittain Brown,CHI,RB,28,3,BrowBr06
Tyler Conklin,LAC,TE,30,13,ConkTy00
Andy Dalton,CAR,QB,38,4,DaltAn00
Will Dissly,LAC,TE,29,9,DissWi00
DJ Giddens,IND,RB,22,9,GiddDJ00
Joe Milton,DAL,QB,25,4,MiltJo00
Skyy Moore,SFO,WR,25,17,MoorSk01
Adam Prentice,DEN,FB,28,17,PrenAd00
Josh Whyle,GNB,TE,26,8,WhylJo01
Michael Bandy,DEN,WR,28,4,BandMi00
Tanner Conner,MIA,TE,27,9,ConnTa00
Darius Cooper,PHI,WR,24,13,CoopDa01
Trevor Etienne,CAR,RB,21,17,EtieTr01
Najee Harris,LAC,RB,27,3,HarrNa00
Malik Heath,GNB,WR,25,11,HeatMa00
Phil Mafah,DAL,RB,23,1,MafaPh00
David Martin-Robinson,TEN,TE,26,17,MartDa01
Ryan Miller,TAM,WR,25,13,MillRy01
Andrew Ogletree,IND,TE,27,15,OgleAn00
Will Shipley,PHI,RB,23,15,ShipWi00
Mason Tipton,NOR,WR,25,14,TiptMa00
Casey Washington,ATL,WR,24,7,WashCa01
Nick Westbrook-Ikhine,MIA,WR,28,15,WestNi00
Trayveon Williams,2TM,RB,28,7,WillTr06
Ronnie Bell,NOR,WR,25,2,BellRo01
British Brooks,HOU,RB,26,15,BrooBr01
Noah Brown,WAS,WR,29,4,BrowNo00
Josiah Deguara,ARI,TE,28,12,DeguJo00
Austin Ekeler,WAS,RB,30,2,EkelAu00
Kaleb Johnson,PIT,RB,22,10,JohnKa03
Kenny Pickett,LVR,QB,27,6,PickKe00
Cade Stover,HOU,TE,25,9,StovCa00
Cam Akers,2TM,RB,26,6,AkerCa00
Devin Culp,TAM,TE,25,13,CulpDe00
Corey Kiner,ARI,RB,23,4,KineCo00
Ray-Ray McCloud,2TM,WR,29,6,McClRa00
James Proche,TEN,WR,29,9,ProcJa00
Arian Smith,NYJ,WR,24,16,SmitAr01
Xavier Weaver,ARI,WR,25,10,WeavXa00
Ty Chandler,MIN,RB,27,3,ChanTy01
AJ Dillon,PHI,RB,27,7,DillAJ00
Hassan Haskins,LAC,RB,26,12,HaskHa00
Khalil Herbert,NYJ,RB,27,7,HerbKh00
Alec Ingold,MIA,FB,29,17,IngoAl01
Charlie Jones,CIN,WR,27,14,JoneCh11
Scotty Miller,PIT,WR,28,13,MillSc01
Foster Moreau,NOR,TE,28,11,MoreFo00
Zamir White,LVR,RB,26,6,WhitZa01
Robbie Chosen,WAS,WR,32,3,AndeRo04
Brenden Bates,2TM,TE,26,9,BateBr00
Tahj Brooks,CIN,RB,23,16,BrooTa00
Anthony Firkser,DET,TE,30,7,FirkAn00
Evan Hull,NOR,RB,25,6,HullEv00
Mason Kinsey,TEN,WR,27,10,KinsMa00
