,rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
82,83,Zach Charbonnet,SEA,RB,16,0,0,0,730,12,20,144,0,0,0,0,0,11.3,181.4
83,84,Ladd McConkey,LAC,WR,16,0,0,0,0,0,66,789,6,0,0,0,0,11.3,180.9
84,85,Juwan Johnson,NO,TE,17,0,0,0,0,0,77,889,3,0,0,0,0,10.6,179.9
85,86,Rhamondre Stevenson,NE,RB,14,0,0,0,603,7,32,345,2,0,0,0,0,12.8,178.8
86,87,Hunter Henry,NE,TE,17,0,0,0,0,0,60,768,7,0,0,0,0,10.5,178.8
87,88,Ka'imi Fairbairn,HOU,K,15,0,0,0,0,0,0,0,0,0,0,0,0,11.9,178
88,89,Dalton Schultz,HOU,TE,17,0,0,0,0,0,82,777,3,0,0,0,0,10.5,177.7
89,90,Brandon Aubrey,DAL,K,17,0,0,0,6,0,0,0,0,0,0,0,0,10.4,177.6
90,91,Brock Purdy,SF,QB,9,2167,20,10,147,3,0,0,0,0,0,0,0,19.7,177.4
91,92,Troy Franklin,DEN,WR,17,0,0,0,12,0,65,709,6,0,0,0,0,10.4,177.1
92,93,Jordyn Brooks,MIA,LB,17,0,0,0,0,0,0,0,0,4,0,1,1,10.4,176.5
93,94,Brock Bowers,LV,TE,12,0,0,0,2,0,64,680,7,0,0,0,0,14.7,176.2
94,95,Jakobi Meyers,JAX,WR,16,0,0,0,13,0,75,835,3,0,0,0,0,11,175.8
95,96,Geno Smith,LV,QB,15,3025,19,17,109,0,0,0,0,0,0,0,0,11.6,173.9
96,97,Jauan Jennings,SF,WR,15,0,0,0,0,0,55,643,9,0,0,0,0,11.6,173.3
97,98,Jack Campbell,DET,LB,17,0,0,0,0,0,0,0,0,5,0,3,2,10.2,172.8
98,99,Parker Washington,JAX,WR,16,0,0,0,0,0,58,847,5,0,0,0,0,10.8,172.7
99,100,Brian Burns,NYG,OLB,17,0,0,0,0,0,0,0,0,17,0,3,1,10.1,171.6
